499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
412 {'ptime': 1665782100, 'popen': 19198.86, 'phigh': 19207.15, 'plow': 19136.43, 'pclose': 19157.73, 'ma7': 19186.04142857143, 'ma25': 19272.178000000004, 'ma99': 19535.216969696965, 'below': False, 'above': False} 19037.39 19227.68
411 {'ptime': 1665781200, 'popen': 19174.43, 'phigh': 19204.03, 'plow': 19174.4, 'pclose': 19198.86, 'ma7': 19188.692857142854, 'ma25': 19282.749600000003, 'ma99': 19537.28161616161, 'below': True, 'above': False} 19037.39 19227.68
410 {'ptime': 1665780300, 'popen': 19203.55, 'phigh': 19204.06, 'plow': 19161.08, 'pclose': 19175.65, 'ma7': 19194.808571428573, 'ma25': 19291.241600000005, 'ma99': 19540.048181818176, 'below': False, 'above': False} 19037.39 19227.68
409 {'ptime': 1665779400, 'popen': 19189.32, 'phigh': 19217.64, 'plow': 19179.04, 'pclose': 19203.55, 'ma7': 19196.278571428575, 'ma25': 19301.3588, 'ma99': 19541.728888888883, 'below': True, 'above': False} 19037.39 19227.68
408 {'ptime': 1665778500, 'popen': 19166.36, 'phigh': 19200.0, 'plow': 19165.0, 'pclose': 19188.11, 'ma7': 19192.16, 'ma25': 19311.8744, 'ma99': 19543.49959595959, 'below': True, 'above': False} 19037.39 19227.68
407 {'ptime': 1665777600, 'popen': 19168.18, 'phigh': 19191.99, 'plow': 19100.01, 'pclose': 19166.36, 'ma7': 19207.105714285717, 'ma25': 19331.866400000003, 'ma99': 19545.253535353528, 'below': True, 'above': False} 19037.39 19241.74
406 {'ptime': 1665776700, 'popen': 19201.59, 'phigh': 19241.74, 'plow': 19132.46, 'pclose': 19168.18, 'ma7': 19225.992857142857, 'ma25': 19352.609200000003, 'ma99': 19547.588181818177, 'below': True, 'above': False} 19037.39 19241.74
405 {'ptime': 1665775800, 'popen': 19217.42, 'phigh': 19238.82, 'plow': 19191.1, 'pclose': 19201.59, 'ma7': 19249.027142857143, 'ma25': 19373.096, 'ma99': 19549.79575757575, 'below': True, 'above': False} 19037.39 19241.74
404 {'ptime': 1665774900, 'popen': 19217.24, 'phigh': 19225.01, 'plow': 19106.16, 'pclose': 19217.42, 'ma7': 19267.024285714288, 'ma25': 19394.859600000003, 'ma99': 19549.69858585858, 'below': True, 'above': False} 19037.39 19269.06
403 {'ptime': 1665774000, 'popen': 19213.84, 'phigh': 19269.06, 'plow': 19208.15, 'pclose': 19217.24, 'ma7': 19284.924285714285, 'ma25': 19418.2884, 'ma99': 19549.22757575757, 'below': True, 'above': False} 19037.39 19269.06
402 {'ptime': 1665773100, 'popen': 19160.49, 'phigh': 19217.35, 'plow': 19143.24, 'pclose': 19213.84, 'ma7': 19297.174285714285, 'ma25': 19438.6976, 'ma99': 19548.791010101006, 'below': True, 'above': False} 19037.39 19284.98
401 {'ptime': 1665772200, 'popen': 19270.98, 'phigh': 19284.98, 'plow': 19131.0, 'pclose': 19160.49, 'ma7': 19317.570000000003, 'ma25': 19457.364800000003, 'ma99': 19548.764848484843, 'below': True, 'above': False} 19037.39 19316.15
400 {'ptime': 1665771300, 'popen': 19300.39, 'phigh': 19316.15, 'plow': 19211.08, 'pclose': 19270.98, 'ma7': 19330.10714285714, 'ma25': 19470.9572, 'ma99': 19547.582525252517, 'below': True, 'above': False} 19037.39 19363.27
399 {'ptime': 1665770400, 'popen': 19362.83, 'phigh': 19363.27, 'plow': 19299.02, 'pclose': 19301.9, 'ma7': 19333.972857142857, 'ma25': 19482.7916, 'ma99': 19545.710505050498, 'below': False, 'above': False} 19037.39 19369.67
398 {'ptime': 1665769500, 'popen': 19343.4, 'phigh': 19369.67, 'plow': 19326.34, 'pclose': 19362.83, 'ma7': 19319.260000000002, 'ma25': 19492.7608, 'ma99': 19542.964141414133, 'below': False, 'above': False} 19037.39 19377.19
397 {'ptime': 1665768600, 'popen': 19342.54, 'phigh': 19377.19, 'plow': 19325.66, 'pclose': 19345.06, 'ma7': 19321.43, 'ma25': 19506.9408, 'ma99': 19540.350202020196, 'below': False, 'above': False} 19037.39 19377.19
396 {'ptime': 1665767700, 'popen': 19299.59, 'phigh': 19343.95, 'plow': 19295.05, 'pclose': 19340.78, 'ma7': 19325.575714285715, 'ma25': 19521.5512, 'ma99': 19538.637474747466, 'below': True, 'above': False} 19037.39 19377.19
395 {'ptime': 1665766800, 'popen': 19303.26, 'phigh': 19343.33, 'plow': 19286.77, 'pclose': 19297.76, 'ma7': 19339.947142857138, 'ma25': 19537.0564, 'ma99': 19535.04878787878, 'below': True, 'above': False} 19037.39 19377.19
